
2024/10/02 (17:33:43) | ===> btop++ v.1.4.0
2024/10/02 (17:33:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (17:33:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/02 (17:33:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (17:33:50) | ===> btop++ v.1.4.0
2024/10/02 (17:33:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (17:33:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/02 (17:33:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (17:52:39) | ===> btop++ v.1.4.0
2024/10/02 (17:52:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (17:52:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/02 (17:52:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (11:37:21) | ===> btop++ v.1.4.0
2024/10/04 (11:37:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (11:37:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/04 (11:37:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (11:37:28) | ===> btop++ v.1.4.0
2024/10/04 (11:37:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (11:37:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/04 (11:37:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:07:42) | ===> btop++ v.1.4.0
2024/10/04 (14:07:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:08:13) | ===> btop++ v.1.4.0
2024/10/04 (14:08:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:08:33) | ===> btop++ v.1.4.0
2024/10/04 (14:08:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:11:39) | ===> btop++ v.1.4.0
2024/10/04 (14:11:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:11:43) | ===> btop++ v.1.4.0
2024/10/04 (14:11:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:43:31) | ===> btop++ v.1.4.0
2024/10/04 (14:43:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (14:43:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/04 (14:43:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (16:47:55) | ===> btop++ v.1.4.0
